step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,9,1,1.3589919856190682,0.0,0.75,1.8681952180713415,0.0,0.0
2,18,2,0.5603963063657285,0.0,0.6666666666666666,,,
3,27,3,0.5430773222322023,0.0,0.5,,,
4,36,4,0.049898782008608575,1.0,1.0,,,
5,45,5,0.07632937696404951,1.0,1.0,,,
6,54,6,0.013320696296194683,1.0,1.0,,,
7,63,7,0.019650692763843836,1.0,1.0,,,
8,72,8,0.01135452475859438,1.0,1.0,,,
9,81,9,0.01841797480621608,1.0,1.0,1.456896915733814,0.0,0.6666666666666666
